CODIGO;DESCRICAO;
0810100;SAO PAULO/CENTRO NORTE;
0810102;LAPA;
0810200;ARACATUBA;
0810201;ANDRADINA;
0810202;PENAPOLIS;
0810203;PEREIRA BARRETO;
0810204;JALES;
0810205;LINS;
0810300;BAURU;
0810302;BOTUCATU;
0810303;JAU;
0810304;LENCOIS PAULISTA;
0810306;AVARE;
0810400;CAMPINAS;
0810408;Indaiatuba;
0810409;SUMARE;
0810500;PRESIDENTE PRUDENTE;
0810501;ADAMANTINA;
0810502;DRACENA;
0810504;PRESIDENTE WENCESLAU;
0810600;SANTOS;
0810601;ITANHAEM;
0810602;REGISTRO;
0810604;GUARUJA;
0810605;Praia Grande;
0810700;SAO JOSE DO RIO PRETO;
0810701;FERNANDOPOLIS;
0810702;CATANDUVA;
0810705;OLIMPIA;
0810706;VOTUPORANGA;
0810800;TAUBATE;
0810802;CRUZEIRO;
0810803;GUARATINGUETA;
0810804;PINDAMONHANGABA;
0810805;CAMPOS DO JORDAO;
0810806;Ubatuba;
0810900;RIBEIRAO PRETO;
0810901;ARARAQUARA;
0810904;BEBEDOURO;
0810905;FRANCA;
0810906;JABOTICABAL;
0811000;SOROCABA;
0811001;ITAPETININGA;
0811002;ITAPEVA;
0811003;ITU;
0811004;SAO ROQUE;
0811006;TATUI;
0811100;GUARULHOS;
0811102;SUZANO;
0811200;LIMEIRA;
0811202;ARARAS;
0811203;PIRACICABA;
0811204;PIRASSUNUNGA;
0811207;MOGI-GUACU;
0811208;SAO JOAO DA BOA VISTA;
0811209;SAO JOSE DO RIO PARDO;
0811300;OSASCO;
0811305;TABOAO DA SERRA;
0811306;COTIA;
0811400;SANTO ANDRE;
0811401;DIADEMA;
0811404;SAO BERNARDO DO CAMPO;
0811405;SAO CAETANO DO SUL;
0811500;SAO PAULO/LESTE;
0811501;PENHA;
0811600;SAO PAULO/CENTRO SUL;
0811601;VILA MARIANA;
0811700;SAO PAULO/OESTE;
0811701;SANTO AMARO;
0811800;MARILIA;
0811801;OURINHOS;
0811802;PIRAJU;
0811803;ASSIS;
0811804;TUPA;
0812000;SAO JOSE DOS CAMPOS;
0812001;JACAREI;
0812002;MOGI DAS CRUZES;
0812051;SAO SEBASTIAO;
0812100;SAO PAULO;
0812200;ARARAQUARA;
0812201;SAO CARLOS;
0812203;Ibitinga;
0812300;FRANCA;
0812301;BARRETOS;
0812302;SAO JOAQUIM DA BARRA;
0812303;BATATAIS;
0812400;JUNDIAI;
0812401;AMPARO;
0812402;BRAGANCA PAULISTA;
0812403;FRANCO DA ROCHA;
0812500;PIRACICABA;
0812501;RIO CLARO;
0812502;AMERICANA;
0812503;CAPIVARI;
0812504;TIETE;
0812800;BARUERI;
0814500;SAO PAULO - SUL;
0814600;SAO PAULO - OESTE;
0814700;SAO PAULO - NORTE;
0814800;SAO PAULO - CENTRO;
0815500;SAO PAULO;
0816500;DELEGACIA ESPECIAL DA RFB DE FISCALIZAçAO DE COMERCIO EXTE- RIOR;
0816600;SAO PAULO;
0817100;SAO PAULO;
0817600;AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS;
0817700;AEROPORTO INTERNACIONAL DE VIRACOPOS;
0817800;PORTO DE SANTOS;
0817900;SAO PAULO;
0818000;DERAT/SPO;
0818500;DEMAC;
0900100;GABINETE DO SRRF/9A RF/ASSESSORIA;
0900107;DIREP/SRRF/9A RF;
0900300;DISIT/SRRF/9A RF;
0900500;DISAR/SRRF/9A RF;
0900700;DIFIS/SRRF/9A RF;
0900900;DIANA/SRRF/9A RF;
0901100;DITEC/SRRF/9A RF;
0901300;DIPOL/SRRF/9A RF;
0910100;CURITIBA;
0910103;PARANAGUA;
0910104;SAO JOSE DOS PINHAIS;
0910107;Colombo;
0910200;LONDRINA;
0910201;APUCARANA;
0910202;ARAPONGAS;
0910204;CORNELIO PROCOPIO;
0910205;JACAREZINHO;
0910300;CASCAVEL;
0910301;FRANCISCO BELTRAO;
0910302;LARANJEIRAS DO SUL;
0910303;TOLEDO;
0910304;IPORA;
0910305;PATO BRANCO;
0910306;ARF - MARECHAL CâNDIDO RONDON;
0910307;ARF - MEDIANEIRA;
0910400;PONTA GROSSA;
0910401;GUARAPUAVA;
0910402;IRATI;
0910403;IBAITI;
0910404;IVAIPORA;
0910405;SANTO ANTONIO DA PLATINA;
0910406;UNIAO DA VITORIA;
0910500;MARINGA;
0910501;CAMPO MOURAO;
0910502;CIANORTE;
0910503;JANDAIA DO SUL;
0910504;LOANDA;
0910505;PARANAVAI;
0910506;UMUARAMA;
0917500;ALF - FOZ DO IGUAÇU;
0917501;IRF - GUAIRA;
0917502;IRF - SANTA HELENA;
0917800;PORTO DE PARANAGUA;
0917900;ALF - CURITIBA;
0917901;IRF - AEROPORTO INTERNACIONAL AFONSO PENA;
0920100;FLORIANOPOLIS;
0920101;ARARANGUA;
0920102;CRICIUMA;
0920103;TUBARAO;
0920104;LAGUNA;
0920200;JOINVILLE;
0920202;CANOINHAS;
0920203;JARAGUA DO SUL;
0920204;MAFRA;
0920206;SAO BENTO DO SUL;
0920300;JOACABA;
0920302;CACADOR;
0920303;CHAPECO;
0920304;CONCORDIA;
0920306;VIDEIRA;
0920307;XANXERE;
0920400;BLUMENAU;
0920401;BRUSQUE;
0920402;RIO DO SUL;
0920403;TIMBO;
0920500;LAGES;
0927500;ALF - FLORIANOPOLIS;
0927501;IRF - AEROPORTO INTERNACIONAL DE FLORIANOPOLIS;
0927502;IRF - IMBITUBA;
0927600;AEROPORTO DE FLORIANOPOLIS (CODIGO ANTIGO - USE O NOVO CODIGO 0925200);
0927601;IMBITUBA (CODIGO ANTIGO - USE O NOVO CODIGO 0925251);
0927700;PORTO DE SAO FRANCISCO DO SUL;
0927800;ITAJAI;
0927900;ALF - DIONISIO CERQUEIRA;
0927901;IRF - CAPANEMA;
0927951;ARF - SANTO ANTôNIO DO SUDOESTE;
0927952;ARF - SAO MIGUEL DO OESTE;
1000100;GABINETE DO SRRF/10A RF/ASSESSORIA;
1000107;DIREP/SRRF/10A RF;
1000300;DISIT/SRRF/10A RF;
1000500;DISAR/SRRF/10A RF;
1000700;DIFIS/SRRF/10A RF;
1000900;DIANA/SRRF/10A RF;
1001100;DITEC/SRRF/10A RF;
1001300;DIPOL/SRRF/10A RF;
1010100;PORTO ALEGRE;
1010101;CANOAS;
1010102;GRAVATAI;
1010103;GUAIBA;
1010106;SANTO ANTONIO DA PATRULHA;
1010107;TORRES;
1010108;CAMAQUA;
1010110;VIAMAO;
1010151;TRAMANDAI;
1010200;PELOTAS;
1010201;CANGUCU;
1010203;SAO LOURENCO DO SUL;
1010206;DOM PEDRITO;
1010207;CHUI;
1010252;JAGUARAO;
1010253;BAGE;
1010300;SANTA MARIA;
1010301;CACHOEIRA DO SUL;
1010302;SANTIAGO;
1010303;SAO GABRIEL;
1010304;CACAPAVA DO SUL;
1010306;ALEGRETE;
1010400;PASSO FUNDO;
1010401;CARAZINHO;
1010402;ERECHIM;
1010404;LAGOA VERMELHA;
1010600;CAXIAS DO SUL;
1010601;BENTO GONCALVES;
1010602;CANELA;
1010603;GUAPORE;
1010604;VACARIA;
1010605;VERANOPOLIS;
1010700;NOVO HAMBURGO;
1010704;SAO LEOPOLDO;
1010706;TAQUARA;
1010800;SANTO ANGELO;
1010801;CRUZ ALTA;
1010802;IJUI;
1010803;SANTA ROSA;
1010804;SAO LUIS GONZAGA;
1010805;FREDERICO WESTPHALEN;
1010806;PALMEIRA DAS MISSOES;
1010807;ARF - TRêS PASSOS;
1010851;PORTO MAUA;
1010852;PORTO XAVIER;
1011100;SANTA CRUZ DO SUL;
1011101;ENCANTADO;
1011102;LAJEADO;
1011103;MONTENEGRO;
1017500;ALF - URUGUAIANA;
1017501;IRF - ITAQUI;
1017502;IRF - QUARAI;
1017503;IRF - SAO BORJA;
1017551;ARF - BARRA DO QUARAI;
1017700;PORTO DE RIO GRANDE;
1017701;IRF - CHUI;
1017800;ALF - PORTO ALEGRE;
1017801;IRF - AEROPORTO INTERNACIONAL SALGADO FILHO;
1017900;ALF - SANTANA DO LIVRAMENTO;
1018000;SERPRO IMPORTACAO;
